,Ano,UF,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118435,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Sim ,Não,1000.0
118443,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,5000.0
118451,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,2700.0
118456,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1500.0
118466,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,4200.0
118471,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,5000.0
118472,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,3500.0
118477,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1800.0
118478,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,3950.0
118480,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,3100.0
118481,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,4500.0
118483,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3500.0
118485,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1650.0
118488,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1262.0
118489,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,500.0
118491,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1000.0
118492,2014,Santa Catarina,Sim,Não,Sim ,Não,Sim ,Não,Não,1500.0
118493,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,500.0
118495,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,500.0
118496,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Sim ,2644.0
118497,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,3000.0
