,Ano,UF,Tv_assinatura,TV_antena_parabolica,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118230,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,862.0
118231,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,788.0
118234,2015,Santa Catarina,Não,Não,Sim,Sim,Não,Sim ,Não,Não,Não,1150.0
118236,2015,Santa Catarina,Não,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,591.0
118246,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Não,Não,Não,Não,500.0
118247,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Não,Não,Não,Não,666.0
118249,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Não,Sim ,Não,Não,900.0
118250,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,916.0
118252,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1500.0
118253,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1350.0
118266,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Não,Não,Não,Não,6000.0
118267,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Não,Sim ,Não,Não,2910.0
118269,2015,Santa Catarina,Sim,Não,Sim,Não,Não,Sim ,Sim ,Não,Não,7000.0
118271,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,9000.0
118272,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2666.0
118274,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,500.0
118278,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1400.0
118282,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1233.0
118283,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,4500.0
118285,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1000.0
118289,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Não,Não,Não,Não,1700.0
118291,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1800.0
118292,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1150.0
118299,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1366.0
118300,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,3066.0
118302,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Não,Sim ,Não,Não,766.0
118303,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Não,Não,Não,Não,1429.0
118305,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,3600.0
118317,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,5000.0
118327,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1500.0
118334,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,833.0
118350,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1900.0
118354,2015,Santa Catarina,Sim,Não,Sim,Não,Não,Sim ,Sim ,Não,Não,4200.0
118355,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2000.0
118356,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,4000.0
118361,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Não,Sim ,Não,800.0
118363,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Não,Não,Não,Não,833.0
118364,2015,Santa Catarina,Não,Não,Sim,Não,Não,Sim ,Sim ,Não,Não,3000.0
118367,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2500.0
118368,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1500.0
118371,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1800.0
118372,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,4333.0
118373,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,2415.0
118375,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,750.0
118376,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,3900.0
118377,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,4100.0
118378,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,8970.0
118379,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Não,Não,Não,Não,662.0
118380,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,788.0
118382,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Sim ,700.0
118385,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1500.0
